tool;type;value;source
Bluefish;developer;OpenOffice;TERESAH
OpenOffice;description;OpenOffice is an open-source office software suite for word processing, spreadsheets, presentations, graphics and databases.;BambooDirt
Nomenklatura;keyword;OpenRefine;TERESAH
OpenRefine;description;OpenRefine (formerly Google Refine) is a tool for cleaning messy data (e.g. fixing inconsistencies), transforming it between different formats, and exploring data.;BambooDirt
OpenSocial;description;OpenSocial provides a set of shared APIs that allow applications to work across multiple social networks, including LinkedIn, Ning, and MySpace.;BambooDirt
Gamera;keyword;optical character recognition;TERESAH
OmniPage;keyword;optical character recognition;TERESAH
Tesseract;keyword;optical character recognition;TERESAH
Oracle Database;developer;Oracle;TERESAH
VirtualBox;developer;Oracle;TERESAH
Oracle Database;description;"Oracle Database is a powerful and extensive relational database management system (RDBMS). There are restrictions on the free version of the software.

Features: 
Supports symmetric multiprocessing (SMP)
 
Stores data logically in the form of tablespaces and physically in the form of datafiles
 
Transportable tablespaces
 
Advanced Queuing (AQ)
 
64-bit database
 
Data Mining Option";BambooDirt
ORBIS;description;ORBIS: The Stanford Geospatial Network Model of the Roman World reconstructs the time cost and financial expense associated with a wide range of different types of travel in antiquity.;BambooDirt
Org Mode;description;Org mode is for keeping notes, maintaining TODO lists, doing project planning, and authoring with a fast and effective plain-text system.;BambooDirt
A.nnotate.com;keyword;organization;TERESAH
Archive-It;tool-type;Organization;TERESAH
Archivematica;tool-type;Organization;TERESAH
AskSam;tool-type;Organization;TERESAH
Google Drive;tool-type;Organization;TERESAH
Google Notebook;keyword;organization;TERESAH
ifttt;tool-type;Organization;TERESAH
Insync;tool-type;Organization;TERESAH
Journler;tool-type;Organization;TERESAH
LitBlitz Literature Notes Manager;tool-type;Organization;TERESAH
NoteBook;tool-type;Organization;TERESAH
Noter;keyword;organization;TERESAH
Otixo;tool-type;Organization;TERESAH
Papers;tool-type;Organization;TERESAH
Personal Brain;tool-type;Organization;TERESAH
Pliny;keyword;organization;TERESAH
Readability;tool-type;Organization;TERESAH
Scribe;keyword;organization;TERESAH
SpiderOak;tool-type;Organization;TERESAH
Supermemo;tool-type;Organization;TERESAH
Tinderbox;keyword;organization;TERESAH
VoodooPad;keyword;organization;TERESAH
Yojimbo;tool-type;Organization;TERESAH
Zotero;keyword;organization;TERESAH
ZotFile;tool-type;Organization;TERESAH
Meaki;keyword;organize;TERESAH
Open GRASS;developer;OSGeo;TERESAH
Quantum GIS;developer;OSGeo;TERESAH
oSkope;developer;oSkope;TERESAH
oSkope;description;oSkope is a visual search assistant that allows you to browse and organize items from Amazon, eBay, Flickr, Fotolia, Yahoo!Image Search and YouTube. Results are displayed on an interactive Flash grid of thumbnails.;BambooDirt
3DVIA Virtools;platform;osX;TERESAH
ABBYY Fine Reader;platform;osX;TERESAH
Adapter;platform;osX;TERESAH
Adobe After Effects;platform;osX;TERESAH
Adobe Bridge;platform;osX;TERESAH
Adobe Dreamweaver;platform;osX;TERESAH
Adobe Flash;platform;osX;TERESAH
Adobe Illustrator;platform;osX;TERESAH
Adobe InDesign;platform;osX;TERESAH
Adobe Pagemaker;platform;osX;TERESAH
Adobe Photoshop;platform;osX;TERESAH
Afloat;platform;osX;TERESAH
Anastasia;platform;osX;TERESAH
AskSam;platform;osX;TERESAH
Attensity;platform;osX;TERESAH
Audacity;platform;osX;TERESAH
BBEdit;platform;osX;TERESAH
BibDesk;platform;osX;TERESAH
Blackboard Scholar;platform;osX;TERESAH
Bookends;platform;osX;TERESAH
Boxer;platform;osX;TERESAH
Camtasia;platform;osX;TERESAH
Captivate;platform;osX;TERESAH
CATMA: Computer Aided Textual Markup & Analysis;platform;osX;TERESAH
CHET-C (Chapel Hill Electronic Text-Converter);platform;osX;TERESAH
Chicken;platform;osX;TERESAH
Chicken of the VNC;platform;osX;TERESAH
CLAWS Tagger;platform;osX;TERESAH
Collin´s Parser;platform;osX;TERESAH
EpiDoc XSLT;platform;osX;TERESAH
Finale;platform;osX;TERESAH
FOLKER;platform;osX;TERESAH
GIMP: GNU Image Manipulation Program;platform;osX;TERESAH
Google Earth;platform;osX;TERESAH
HyperRESEARCH;platform;osX;TERESAH
ImageMagik;platform;osX;TERESAH
InqScribe;platform;osX;TERESAH
Insync;platform;osX;TERESAH
iPhoto;platform;osX;TERESAH
iShowU;platform;osX;TERESAH
iSpring;platform;osX;TERESAH
iTunesCyrFix;platform;osX;TERESAH
Jing;platform;osX;TERESAH
Kaleidoscope 2.0;platform;osX;TERESAH
Legend Maker;platform;osX;TERESAH
LIWC;platform;osX;TERESAH
MacSpeech Scribe;platform;osX;TERESAH
MDB Tool;platform;osX;TERESAH
MediaWiki;platform;osX;TERESAH
Mellel;platform;osX;TERESAH
myPeers;platform;osX;TERESAH
nanoc;platform;osX;TERESAH
Notational Velocity;platform;osX;TERESAH
NovaMind;platform;osX;TERESAH
Omeka.net;platform;osX;TERESAH
OmniGraffle;platform;osX;TERESAH
OmniPage;platform;osX;TERESAH
OpendTect;platform;osX;TERESAH
OpenOffice;platform;osX;TERESAH
Painter;platform;osX;TERESAH
Papyrological Navigator (PN);platform;osX;TERESAH
PDFsam (PDF Split and Merge);platform;osX;TERESAH
PDFtoMusic Pro;platform;osX;TERESAH
PhotoScore;platform;osX;TERESAH
Picasa;platform;osX;TERESAH
Pliny;platform;osX;TERESAH
Pro Tools;platform;osX;TERESAH
Projects;platform;osX;TERESAH
QuarkXPress;platform;osX;TERESAH
ScreenFlick;platform;osX;TERESAH
ScreenFlow;platform;osX;TERESAH
Sente;platform;osX;TERESAH
Sharepoint;platform;osX;TERESAH
Sibelius;platform;osX;TERESAH
SiteCrawler;platform;osX;TERESAH
Skim;platform;osX;TERESAH
Skitch;platform;osX;TERESAH
SmartScore;platform;osX;TERESAH
Snap Pro X;platform;osX;TERESAH
SoSOL (Son of SOL);platform;osX;TERESAH
Soundflower;platform;osX;TERESAH
Stories Matter;platform;osX;TERESAH
Text Variation Explorer;platform;osX;TERESAH
TextExpander;platform;osX;TERESAH
The Transcoder;platform;osX;TERESAH
Tinderbox;platform;osX;TERESAH
Tofu;platform;osX;TERESAH
Topic Modeling Tool;platform;osX;TERESAH
Transana;platform;osX;TERESAH
Transcriber;platform;osX;TERESAH
Transcription Assistant;platform;osX;TERESAH
Transcriva;platform;osX;TERESAH
UAM CorpusTool;platform;osX;TERESAH
Wavesurfer;platform;osX;TERESAH
Vertov;platform;osX;TERESAH
Word Hoard;platform;osX;TERESAH
WordSmith;platform;osX;TERESAH
WriteRoom;platform;osX;TERESAH
Yojimbo;platform;osX;TERESAH
Otixo;developer;Otixo;TERESAH
OttoBib;description;OttoBib allows you to create a bibliography based on looking up the data online. Additionally, the reader or teacher can see the books, their covers, links to Amazon or other online references.;BambooDirt
LitBlitz Literature Notes Manager;description;"Overview
LitBlitz is free web-based beta software that aims to improve how students and researchers manage their notes for literature reviews, assignment research and more. With LitBlitz, you can:
- Avoid hours of printing, highlighting, organizing and typing
- Save money involved in printing 100s to 1000s of pages
- Highlight and write notes without shuffling a stack of papers
- Organise your notes into digital notebooks in real-time
- Easily transfer notes to your draft review/assignment
LitBlitz v1.0 is currently available as a Google Chrome extension. 
How LitBlitz Is Different
LitBlitz was designed from the ground-up to solve problems other annotation and notetaking services haven't looked at or have solved poorly. It's is different from popular notetaking and archiving software like Evernote in that it allows users to:
(1) Take text and image snippets from their document/webpage sources rather than forcing the user to archive entire documents
(2) Write ""Own Notes"" (personal insights) related to snippets to enable rapid draft writing and context building
(3) Manage these snippets in themed digital notebooks for fast, easy reference 
Note from founder: We are very open to improving through suggestions from librarians, academics and Ed Tech professionals - feel free to contact us via our website litblitz.net";BambooDirt
RivEx;keyword;OWL;TERESAH
ToadHMS;developer;Oxford Archdigital Limited (original creator), Clarinet Systems Ltd (current maintainer);TERESAH
OxCal;developer;Oxford Radiocarbon Accelerator Unit, University of Oxford;TERESAH
OxGarage;developer;Oxford University;TERESAH
OxGarage;description;OxGarage is a document conversion facility. Users can upload files falling into three categories: documents, presentations and spreadsheets. In the documents category files in common format, such as Microsoft Word, plain text, or XHTML, or in various TEI formats, can be converted into many formats, including LaTeX, TEI P5, plain text, RDF XML and more. The spreadsheets input is limited to a few standard spreadsheet formats, such as Microsoft Excel and Open Office Spreadsheet, but the lists of outputs is still large. The presentation options are fewer but offer, for example, converstion of Powerpoint to Flash.;HistoryOnline
OxGarage;description;OxGarage is an experimental web, and RESTful, service to manage the transformation of documents (XML, word processing, spreadsheets, presentations) between a variety of formats. The majority of transformations use TEI as a pivot format. See the conversion matrix for details.;BambooDirt
pachyderm;description;Pachyderm allows users to upload multimedia (images, audio, video) and publish them online using pre-defined templates or download them for use on their own website, or on a CD or DVD.;BambooDirt
HathiTrust Digital Library;keyword;page images;TERESAH
Adobe Pagemaker;description;PageMaker was the first desktop publishing (DTP) program, introduced in 1985. The last version is PageMaker 7.0 released  in July 2001. In 2004, Adobe announced that development for Adobe PageMaker had ceased but that Adobe would continue to sell and support it. InDesign is presented as the successor product.;ArtsHumanities
ABBYY Fine Reader;keyword;Paid;TERESAH
Adobe After Effects;keyword;Paid;TERESAH
Adobe Dreamweaver;keyword;Paid;TERESAH
Adobe Flash;keyword;Paid;TERESAH
Adobe Illustrator;keyword;Paid;TERESAH
Adobe InDesign;keyword;Paid;TERESAH
Altmetric;keyword;Paid;TERESAH
Analyse-it;keyword;Paid;TERESAH
ANTHROPAC;keyword;Paid;TERESAH
ArcGis;keyword;Paid;TERESAH
Archive-It;keyword;Paid;TERESAH
AskSam;keyword;Paid;TERESAH
Atlas.ti;keyword;Paid;TERESAH
Attensity;keyword;Paid;TERESAH
Autodesk 3ds Max;keyword;Paid;TERESAH
Balsamiq Mockups;keyword;Paid;TERESAH
Basecamp;keyword;Paid;TERESAH
Basis Technology;keyword;Paid;TERESAH
BBEdit;keyword;Paid;TERESAH
BITEXT;keyword;Paid;TERESAH
Bookends;keyword;Paid;TERESAH
Camtasia;keyword;Paid;TERESAH
capella-scan;keyword;Paid;TERESAH
Captivate;keyword;Paid;TERESAH
Finale;keyword;Paid;TERESAH
Flickr;keyword;Paid;TERESAH
FocusOPEN Digital Asset Manager;keyword;Paid;TERESAH
Freedity;keyword;Paid;TERESAH
Github;keyword;Paid;TERESAH
GoodReader;keyword;Paid;TERESAH
Google Books;keyword;Paid;TERESAH
Google Drive;keyword;Paid;TERESAH
Google SketchUp;keyword;Paid;TERESAH
HyperRESEARCH;keyword;Paid;TERESAH
iAnnotate;keyword;Paid;TERESAH
IBM AeroText;keyword;Paid;TERESAH
IBM InfoSphere;keyword;Paid;TERESAH
Indexhibit;keyword;Paid;TERESAH
InqScribe;keyword;Paid;TERESAH
Instaviz;keyword;Paid;TERESAH
iPhoto;keyword;Paid;TERESAH
iShowU;keyword;Paid;TERESAH
iSpring;keyword;Paid;TERESAH
Jing;keyword;Paid;TERESAH
JIRA;keyword;Paid;TERESAH
jotform;keyword;Paid;TERESAH
Journler;keyword;Paid;TERESAH
Jumpchart;keyword;Paid;TERESAH
Kaleidoscope 2.0;keyword;Paid;TERESAH
Legend Maker;keyword;Paid;TERESAH
Leximancer;keyword;Paid;TERESAH
Lextek;keyword;Paid;TERESAH
Linguistic Inquiry and Word Count (LIWC);keyword;Paid;TERESAH
LIWC;keyword;Paid;TERESAH
MacSpeech Scribe;keyword;Paid;TERESAH
Matlab;keyword;Paid;TERESAH
MAXQDA;keyword;Paid;TERESAH
MDB Tool;keyword;Paid;TERESAH
Mellel;keyword;Paid;TERESAH
Mercury Amira;keyword;Paid;TERESAH
MindJet MindManager;keyword;Paid;TERESAH
Minitab;keyword;Paid;TERESAH
MonoConc;keyword;Paid;TERESAH
Navicat for MySQL;keyword;Paid;TERESAH
Netvibes;keyword;Paid;TERESAH
Ning;keyword;Paid;TERESAH
NoodleTools;keyword;Paid;TERESAH
NoteBook;keyword;Paid;TERESAH
Noter;keyword;Paid;TERESAH
NovaMind;keyword;Paid;TERESAH
NVivo;keyword;Paid;TERESAH
Office 365;keyword;Paid;TERESAH
Omeka.net;keyword;Paid;TERESAH
OmniFocus;keyword;Paid;TERESAH
OmniPage;keyword;Paid;TERESAH
OneNote;keyword;Paid;TERESAH
Oracle Database;keyword;Paid;TERESAH
Otixo;keyword;Paid;TERESAH
oXygen XML editor;keyword;Paid;TERESAH
Painter;keyword;Paid;TERESAH
Papers;keyword;Paid;TERESAH
PDFmyURL;keyword;Paid;TERESAH
PDFtoMusic Pro;keyword;Paid;TERESAH
Pear Note;keyword;Paid;TERESAH
Personal Brain;keyword;Paid;TERESAH
PhotoScore;keyword;Paid;TERESAH
Picnik;keyword;Paid;TERESAH
Pie-Slice;keyword;Paid;TERESAH
Pinboard;keyword;Paid;TERESAH
Pro Tools;keyword;Paid;TERESAH
Projects;keyword;Paid;TERESAH
QDA Miner;keyword;Paid;TERESAH
Quadrigram;keyword;Paid;TERESAH
Qualrus;keyword;Paid;TERESAH
QuarkXPress;keyword;Paid;TERESAH
Readware Information Processor;keyword;Paid;TERESAH
RefWorks;keyword;Paid;TERESAH
SAS Analytics;keyword;Paid;TERESAH
Scanner for Zotero;keyword;Paid;TERESAH
SCHED*;keyword;Paid;TERESAH
Screencast-o-matic;keyword;Paid;TERESAH
ScreenFlick;keyword;Paid;TERESAH
ScreenFlow;keyword;Paid;TERESAH
ScribTeX;keyword;Paid;TERESAH
Scrivener;keyword;Paid;TERESAH
Sente;keyword;Paid;TERESAH
Sharepoint;keyword;Paid;TERESAH
SharpEye;keyword;Paid;TERESAH
SiteCrawler;keyword;Paid;TERESAH
Skype;keyword;Paid;TERESAH
SmartScore;keyword;Paid;TERESAH
Snap Pro X;keyword;Paid;TERESAH
Snipshot;keyword;Paid;TERESAH
SPSS Statistics;keyword;Paid;TERESAH
SQL Server;keyword;Paid;TERESAH
StatCrunch;keyword;Paid;TERESAH
Sumo Paint;keyword;Paid;TERESAH
Survey Daddy;keyword;Paid;TERESAH
Survey Monkey;keyword;Paid;TERESAH
TextExpander;keyword;Paid;TERESAH
TextPad;keyword;Paid;TERESAH
The Observer XT;keyword;Paid;TERESAH
Things;keyword;Paid;TERESAH
TileMill;keyword;Paid;TERESAH
Tinderbox;keyword;Paid;TERESAH
Topo.ly;keyword;Paid;TERESAH
Transana;keyword;Paid;TERESAH
Transcriber;keyword;Paid;TERESAH
Transcript;keyword;Paid;TERESAH
Transcriva;keyword;Paid;TERESAH
TurnTool;keyword;Paid;TERESAH
TypePad;keyword;Paid;TERESAH
UMapper;keyword;Paid;TERESAH
Wikidot;keyword;Paid;TERESAH
WikiPack;keyword;Paid;TERESAH
Wmatrix;keyword;Paid;TERESAH
VoiceThread;keyword;Paid;TERESAH
VoodooPad;keyword;Paid;TERESAH
WordPress.com;keyword;Paid;TERESAH
WordSmith;keyword;Paid;TERESAH
WordStat - Content Analysis & Text Mining Software;keyword;Paid;TERESAH
WorldCat;keyword;Paid;TERESAH
VoxcribeCC;keyword;Paid;TERESAH
WriteRoom;keyword;Paid;TERESAH
Wufoo;keyword;Paid;TERESAH
XMetal;keyword;Paid;TERESAH
Yojimbo;keyword;Paid;TERESAH
Zandy;keyword;Paid;TERESAH
Zoho;keyword;Paid;TERESAH
Zoomerang;keyword;Paid;TERESAH
Zoomify;keyword;Paid;TERESAH
Zotero;keyword;Paid;TERESAH
PAIR (Pairwise Alignment for Intertextual Relations);description;"PAIR is a sequence alignment algorithm for humanities text analysis designed to identify ""similar passages"" in large collections of texts. In addition to a Philologic add-on, PAIR is available as Text::Pair, a generalized Perl module that supports one-against-many comparisons. A corpus is indexed and incoming texts are compared against the entire corpus for text reuse.";BambooDirt
Zoomify;keyword;pan;TERESAH
Pandoc;description;Pandoc can convert documents in reStructuredText, textile, HTML, or LaTeX formats to a variety of other formats including XHTML, PDF, EPUB, docx, odt, and more.;BambooDirt
CHET-C (Chapel Hill Electronic Text-Converter);keyword;Papyrology;TERESAH
EpiDoc XSLT;keyword;Papyrology;TERESAH
Papyrological Navigator (PN);keyword;Papyrology;TERESAH
SoSOL (Son of SOL);keyword;Papyrology;TERESAH
The Transcoder;keyword;Papyrology;TERESAH
Collin´s Parser;keyword;parse;TERESAH
epcEdit;keyword;parser;TERESAH
Anastasia;keyword;Parsing;TERESAH
GeoParser;keyword;Parsing;TERESAH
GeoParser;keyword;parsing;TERESAH
oXygen XML editor;keyword;Parsing;TERESAH
Collin´s Parser;keyword;parsing standards;TERESAH
Participad;description;"Participad is a WordPress plugin that allows multiple people to edit the same WP content at the same time. Powered by Etherpad Lite, Participad gives you: notepads, for collaborative notetaking; ynchronous authoring of any content in the WordPress Dashboard; front-end editing.";BambooDirt
CLAWS Tagger;keyword;Parts-of-speech;TERESAH
Pattern;description;Pattern is a Python web mining module with tools for data retrieval (Google + Twitter + Wikipedia API, web spider, HTML DOM parser), text analysis (rule-based shallow parser, WordNet interface, syntactical + semantical n-gram search algorithm, tf-idf + cosine similarity + LSA metrics) and data visualization (graph networks).;BambooDirt
Praat;developer;Paul Boersma and David Weenink;TERESAH
3DVIA Virtools;standard;PCX;TERESAH
GIMP: GNU Image Manipulation Program;standard;PCX;TERESAH
ABBYY Fine Reader;standard;PCX;TERESAH
ABBYY Fine Reader;standard;PDF;TERESAH
Adobe Bridge;standard;PDF;TERESAH
Adobe Illustrator;standard;PDF;TERESAH
Adobe InDesign;standard;PDF;TERESAH
Adobe Pagemaker;standard;PDF;TERESAH
ArcView;standard;PDF;TERESAH
CONTENTdm;standard;PDF;TERESAH
GIMP: GNU Image Manipulation Program;standard;PDF;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;standard;PDF;TERESAH
Omeka.net;standard;PDF;TERESAH
PDFMiner;standard;PDF;TERESAH
Plone;standard;PDF;TERESAH
QuarkXPress;standard;PDF;TERESAH
Skim;standard;PDF;TERESAH
PDFCreator;description;PDFCreator is a free PDF creation utility for Windows that includes features for password protection and disabling printing.;BambooDirt
PDF Extract;description;Pdf-extract is an open source set of tools and libraries for identifying and extracting semantically significant regions of a scholarly journal article (or conference proceeding) PDF.;BambooDirt
PDFMiner;description;PDFMiner is a Python tool for extracting information from PDFs (not only text, but also information about fonts, encoding, and layout.);BambooDirt
PDFmyURL;description;PDFmyURL converts websites to PDFs. Premium, paid features include watermarks and preference configuration (e.g. paper size, table of contents, disabling/enabling links, etc.);BambooDirt
PDFsam (PDF Split and Merge);description;PDFsam can split and merge batches of PDFs.;BambooDirt
PDFtoMusic Pro;description;PDFtoMusic Pro converts PDFs created by other music notation programs to MusicXML scores.;BambooDirt
StatCrunch;developer;Pearson Education;TERESAH
VassarStats;keyword;pedagogy;TERESAH
PaperCritic;keyword;peer to peer review;TERESAH
BBEdit;keyword;Perl;TERESAH
EPrints.org;keyword;Perl;TERESAH
GeoNames;keyword;Perl;TERESAH
ImageMagik;keyword;Perl;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;keyword;Perl;TERESAH
Plone;keyword;Perl;TERESAH
PostgreSQL;keyword;Perl;TERESAH
Subversion Version System (SVN);keyword;Perl;TERESAH
Subversion Version System (SVN);keyword;Perl;TERESAH
xMod;keyword;Perl;TERESAH
xMod;keyword;Perl;TERESAH
Perl;description;Perl is a high-level, general-purpose, interpreted, dynamic programming language.  Originally developed for text manipulation, it is now used for a wide range of tasks including graphics programming, system administration, network programming, applications that require database access and CGI programming on the Web.;ArtsHumanities
Perl;description;"Perl is a high-level, general-purpose, interpreted, dynamic programming language. Originally developed for text manipulation, it is now used for a wide range of tasks including graphics programming, system administration, network programming, applications that require database access and CGI programming on the Web.
Features: 
C, shell scripting (sh), AWK, and sed
Powerful text processing facilities
Flexibility and adaptability
Support for multiple programming paradigms
Reference counting memory management";BambooDirt
Personal Brain;description;PersonalBrain is a mind mapping and brainstorming application that helps users visualize their ideas. PersonalBrain applies visualization to your content, in order to great a digital map visualization of networked information.;BambooDirt
NVivo;keyword;phenomenology;TERESAH
Journler;developer;Philip Dow;TERESAH
PhiloGL;description;PhiloGL is a framework for data visualization using WebGL, a library that extends Javascript to allow it to generate interactive 3D graphics.;BambooDirt
PhiloLine;description;"PhiloLine is an add-on for the Philologic text retrieval engine that provides a sequence alignment algorithm for humanities text analysis designed to identify ""similar passages"" in large collections of texts.";BambooDirt
PhiloLine;keyword;Philologic;TERESAH
Philologic;description;Philologic is a full-text search, retrieval and analysis tool with support for TEI-Lite XML/SGML, Unicode encoding, plaintext, Dublin Core/HTML, and DocBook.;BambooDirt
ARTFL Encyclopédie Project;keyword;Philomine;TERESAH
Philomine;description;Philomine is an extension to the Philologic text retrieval engine that supports a variety of machine learning, text mining, and document clustering tasks.;BambooDirt
Wavesurfer;keyword;Phondat;TERESAH
Praat;keyword;phonetics;TERESAH
ToadHMS;keyword;photo album;TERESAH
Adobe Photoshop;keyword;Photo editing;TERESAH
Adobe Photoshop;keyword;Photogrammetry;TERESAH
Adobe Photoshop;keyword;Photography;TERESAH
FocusOPEN Digital Asset Manager;keyword;Photography;TERESAH
Adobe Illustrator;keyword;Photomontage;TERESAH
Adobe InDesign;keyword;Photomontage;TERESAH
Adobe Pagemaker;keyword;Photomontage;TERESAH
Adobe Photoshop;keyword;Photomontage;TERESAH
PhotoScore;description;PhotoScore takes an image of a music score-- including handwritten scores-- and outputs it in an editable format, including MusicXML.;BambooDirt
Adobe Photoshop;keyword;Photoshop;TERESAH
Photoshop Express;description;Photoshop Express allows simple web-based image editing and cloud storage (2 GB free), as well as video storage and streaming, slideshow templates, and a photo gallery. Features include online galleries and slideshows, exporting and searching images, and privacy settings. Android and iOS (including iPad) apps are available.;BambooDirt
ABBYY Fine Reader;keyword;PHP;TERESAH
Adobe Dreamweaver;keyword;PHP;TERESAH
Adobe Dreamweaver;keyword;PHP;TERESAH
BBEdit;keyword;PHP;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;keyword;PHP;TERESAH
MantisBT;keyword;PHP;TERESAH
Omeka.net;keyword;PHP;TERESAH
Perl;keyword;PHP;TERESAH
Perl;keyword;PHP;TERESAH
Plone;keyword;PHP;TERESAH
PostgreSQL;keyword;PHP;TERESAH
Solr;keyword;PHP;TERESAH
Subversion Version System (SVN);keyword;PHP;TERESAH
Subversion Version System (SVN);keyword;PHP;TERESAH
ToadHMS;keyword;PHP;TERESAH
WordPress;keyword;PHP;TERESAH
MediaWiki;keyword;PHP 5.2.3+;TERESAH
Picasa;description;Picasa is simple photo editing software that integrates with on-line Picasa Web Albums for photo sharing.;BambooDirt
Picasa;keyword;Picasa Web Albums;TERESAH
Picnik;description;Picnik is a simple web-based image editor that can import photos from Facebook, Myspace, Picasa Web Albums, Flickr, Yahoo Image search, Google Plus, and also has upload capabilities.;BambooDirt
Pinboard;description;"Pinboard is a basic social bookmarking website that describes itself as being ""for introverted people in a hurry."" The focus of the site is less on social side and more on the side of providing a quick easy to use and functional bookmarking site. There is a one time fee of under $10.00.";BambooDirt
Instaviz;developer;Pixelglow Software;TERESAH
GeoParser;keyword;plain text;TERESAH
Audacity;keyword;playback;TERESAH
Wavesurfer;keyword;playback;TERESAH
Wavesurfer;keyword;playback;TERESAH
Pliny;description;Pliny is a note-taking and annotation tool. It may be used with both digital (web pages, images, PDF files) and non-digital (books, printed articles) materials. Pliny is a desktop application that runs on your computer, and manages annotations and notes that you gather as you are reading.;BambooDirt
Plone;description;Plone is a powerful, flexible, open source Content Management System (CMS) built on top of Zope application server and CMF.;ArtsHumanities
Plone;description;"Plone is a powerful, flexible, open source Content Management System (CMS) built on top of Zope application server and CMF.
Features: 
Flexible and adaptable workflow
Customisable
Free add-ons
Versioning, history and reverting content
Support for multiple mark up formats
Multilingual content management
RSS feed support
WebDAV and FTP support
WYSIWYG";BambooDirt
ScholarPress Workshop;keyword;plugin;TERESAH
Tweetster;description;Plugin for Omeka and WordPress that allows you to automatically tweet new additions to your Omeka archive or WordPress blog.;BambooDirt
Adobe Illustrator;keyword;Plug-in support;TERESAH
3DVIA Virtools;standard;PNG;TERESAH
ABBYY Fine Reader;standard;PNG;TERESAH
Adobe Photoshop;standard;PNG;TERESAH
ArcExplorer;standard;PNG;TERESAH
ArcView;standard;PNG;TERESAH
GIMP: GNU Image Manipulation Program;standard;PNG;TERESAH
Pocket;description;Pocket (formerly Read It Later) is a tool to save web pages for reading later. This tool allows you to read on the computer, iPhone, iPad, iPod touch, Kindle, or on paper.;BambooDirt
ArcView;keyword;polygon;TERESAH
ArcView;keyword;polyline;TERESAH
Polymaps;description;Polymaps is a free JavaScript library for making dynamic, interactive maps in modern web browsers. Polymaps provides speedy display of multi-zoom datasets over maps, and supports a variety of visual presentations for tiled vector data, in addition to the usual cartography from OpenStreetMap, CloudMade, Bing, and other providers of image-based web maps. Birmingham Airport Parking Manchester Meet and Greet;BambooDirt
PolyMeta;description;PolyMeta is a metasearch engine that displays the search results in the form of clusters and images. The results are sorted according to source and category.;BambooDirt
POP - Prototyping on Paper;description;POP allows paper based wire frames to be converted to a simulated mobile app.;BambooDirt
popplet;description;Popplet is an online mind mapping and collaborative brainstorming tool.;BambooDirt
Google Earth;keyword;Portable Anymap (PNM);TERESAH
Audacity;standard;Portable Voice Format (PVF);TERESAH
Sharepoint;keyword;portal server;TERESAH
Sharepoint;keyword;portal server;TERESAH
Aruspix;description;post is very well written with lot of useful information for me. I am happy to find your great way of writing the post. With your generous help it is easier for me to understand and implement the concept. Thank you for the post.car for salenew car leasing;BambooDirt
GDAL;keyword;PostGIS;TERESAH
PostgreSQL;developer;PostgreSQL Global Development Group;TERESAH
PostgreSQL;description;PostgreSQL is a powerful, open source object-relational database system.;ArtsHumanities
PostgreSQL;description;PostgreSQL is a powerful, open source object-relational database system.;BambooDirt
PostgreSQL;license;PostgreSQL License;TERESAH
GIMP: GNU Image Manipulation Program;keyword;PostScript (PS);TERESAH
Pie-Slice;keyword;pottery information equivalent;TERESAH
Pie-Slice;keyword;pottery information equivalent;TERESAH
WorldMap;description;"Powerful web-based mapping tool (a customized version of GeoNode) that allows users to visualize, edit, collaborate, and publish geospatial information. Upload your own data or use the existing library
attempts to fill a growing niche between powerful desktop-bound mapping applications, and lightweight web map solutions with limited capacity";BambooDirt
Omeka.net;keyword;Powerpoint Document (.ppt);TERESAH
ABBYY Fine Reader;keyword;PPT;TERESAH
Praat;description;Praat is software for the phonetic analysis of speech, including support for articulatory and speech synthesis.;BambooDirt
EPrints.org;keyword;preservation;TERESAH
Fedora Commons;keyword;preservation;TERESAH
PressBooks;description;PressBooks lets you and your team easily author and output books in multiple formats including: epub, Kindle, print-on-demand-ready PDF, HTML, and inDesign-ready XML.;BambooDirt
WEFT QDA;developer;PRESSURE.TO;TERESAH
ImageMagik;keyword;Pretty Good Privacy (PGP);TERESAH
Prezi;description;Prezi is a cloud-based presentation software that opens up a new world between whiteboards and slides. The zoomable canvas makes it fun to explore ideas and the connections between them.;BambooDirt
QuarkXPress;keyword;printing;TERESAH
Prism;description;Prism is a tool for crowdsourcing interpretation. Welcome to our experiment in crowd-sourcing and visualizing many readings of a common set of texts.;BambooDirt
Pro Tools;description;Pro Tools is an audio creation and production software. With Pro Tools it is possible to compose, record, edit, and mix music or sound for picture â€” all within one system.;ArtsHumanities
Pro Tools;description;"Pro Tools is audio creation and production software. With Pro Tools it is possible to compose, record, edit, and mix music or sound for pictures and video with out havingto use a variety of software.
Features: 
over 70 groundbreaking virtual instruments, effects, and utility plug-ins
over 8 GB of audio loops
view, edit, arrange and print MIDI data as music notation
Supports files up to 4 GB";BambooDirt
Processing;description;Processing is an open source programming language and environment for people who want to create images, animations, and interactions. Initially developed to serve as a software sketchbook and to teach fundamentals of computer programming within a visual context, Processing also has evolved into a tool for generating finished professional work. Today, there are tens of thousands of students, artists, designers, researchers, and hobbyists who use Processing for learning, prototyping, and production.;BambooDirt
Basecamp;keyword;productivity;TERESAH
